doc_id,y,group,model,source,theme,n_sentences,n_sentences_prose,n_endings,window_used,n_chars_total,cov_log_sentences,cov_log_chars,llama_degenerate,sent_len_char_mean,sent_len_char_sd,sent_len_char_cv,sent_len_mora_mean,sent_len_mora_sd,sent_len_mora_cv,burstiness_char,burstiness_mora,para_sent_cv,taigendome_rate,dewanaku_per_sentence,comma_per_sentence,ending_mattr20
ai/claude-3-haiku/cicd-pipeline_1,1,ai,claude-3-haiku,ai,cicd-pipeline,26,26,26,20.0,1333.000006,3.295836866004329,7.19593723097332,0,51.269231,20.351824,0.39696,40.0,17.87779,0.446945,-0.43168,-0.382223,0.461538,0.0,0.0,1.576923,0.507143
ai/claude-3-haiku/cicd-pipeline_2,1,ai,claude-3-haiku,ai,cicd-pipeline,39,15,15,15.0,1738.000017,3.6888794541139363,7.461065524130016,0,44.564103,22.870645,0.513208,40.333333,24.208849,0.600219,-0.321696,-0.249829,0.580756,0.066667,0.0,1.487179,0.666667
ai/claude-3-haiku/cicd-pipeline_3,1,ai,claude-3-haiku,ai,cicd-pipeline,45,28,28,20.0,1735.0000200000002,3.828641396489095,7.459338906741033,0,38.555556,13.159797,0.34132,37.088889,14.357069,0.387099,-0.491068,-0.441858,0.484322,0.0,0.0,1.0,0.555556
ai/claude-3-haiku/cicd-pipeline_4,1,ai,claude-3-haiku,ai,cicd-pipeline,58,33,33,20.0,1905.000024,4.07753744390572,7.552762096805963,0,32.844828,18.334819,0.558225,32.310345,16.676648,0.51614,-0.283511,-0.31914,0.549565,0.0,0.0,0.87931,0.617857
ai/claude-3-haiku/cicd-pipeline_5,1,ai,claude-3-haiku,ai,cicd-pipeline,38,33,33,20.0,1655.999986,3.6635616461296463,7.412764008977558,0,43.578947,13.307362,0.305362,38.368421,17.120964,0.446225,-0.532142,-0.38291,0.443482,0.0,0.0,1.552632,0.553571
ai/claude-3-haiku/code-review_1,1,ai,claude-3-haiku,ai,code-review,75,22,22,20.0,1746.999975,4.330733340286331,7.466227541913421,0,23.293333,13.365401,0.573787,28.12,14.362878,0.510771,-0.27082,-0.323827,0.920193,0.0,0.066667,0.626667,0.683333
ai/claude-3-haiku/code-review_2,1,ai,claude-3-haiku,ai,code-review,33,14,14,14.0,1592.9999910000001,3.5263605246161616,7.374001853703987,0,48.272727,12.302433,0.254853,56.030303,14.8803,0.265576,-0.593813,-0.580308,0.516931,0.0,0.030303,1.181818,0.928571
ai/claude-3-haiku/code-review_3,1,ai,claude-3-haiku,ai,code-review,56,41,41,20.0,2060.999976,4.04305126783455,7.63143165293772,0,36.803571,12.059998,0.327686,42.839286,13.657516,0.318808,-0.506381,-0.516521,0.476488,0.0,0.053571,1.357143,0.638636
ai/claude-3-haiku/code-review_4,1,ai,claude-3-haiku,ai,code-review,66,36,36,20.0,1964.999982,4.204692619390966,7.583756291551466,0,29.772727,13.818954,0.464148,34.863636,16.303826,0.467646,-0.365982,-0.362727,0.430154,0.0,0.0,1.045455,0.629412
ai/claude-3-haiku/code-review_5,1,ai,claude-3-haiku,ai,code-review,77,56,56,20.0,2542.999998,4.356708826689592,7.841492923673849,0,33.025974,17.763215,0.537856,38.571429,20.898287,0.541807,-0.300512,-0.297179,0.559648,0.0,0.0,1.311688,0.65
ai/claude-3-haiku/docker-intro_1,1,ai,claude-3-haiku,ai,docker-intro,46,33,33,20.0,1778.999998,3.8501476017100584,7.4843686421625355,0,38.673913,16.47271,0.425939,35.565217,15.846618,0.445565,-0.402585,-0.383542,0.581699,0.0,0.0,1.021739,0.553571
ai/claude-3-haiku/docker-intro_2,1,ai,claude-3-haiku,ai,docker-intro,46,38,38,20.0,1891.0000160000002,3.8501476017100584,7.545389758068484,0,41.108696,13.625788,0.331458,36.434783,14.743683,0.40466,-0.502113,-0.423833,0.537796,0.0,0.0,0.978261,0.507895
ai/claude-3-haiku/docker-intro_3,1,ai,claude-3-haiku,ai,docker-intro,48,32,32,20.0,1947.999984,3.8918202981106265,7.5750716912982226,0,40.583333,16.068646,0.395942,39.125,13.556402,0.34649,-0.432724,-0.485344,0.406116,0.0,0.0,0.958333,0.473077
ai/claude-3-haiku/docker-intro_4,1,ai,claude-3-haiku,ai,docker-intro,46,36,36,20.0,1923.000008,3.8501476017100584,7.562161635383656,0,41.804348,11.412464,0.272997,38.282609,12.607215,0.32932,-0.571096,-0.504529,0.516276,0.0,0.0,1.130435,0.576471
ai/claude-3-haiku/docker-intro_5,1,ai,claude-3-haiku,ai,docker-intro,57,51,51,20.0,2176.000023,4.060443010546419,7.685703071799545,0,38.175439,13.286483,0.348037,35.333333,12.202003,0.34534,-0.483638,-0.486613,0.452754,0.0,0.0,1.298246,0.589063
ai/claude-3-haiku/git-team-rules_1,1,ai,claude-3-haiku,ai,git-team-rules,54,23,23,20.0,1650.999996,4.007333185232471,7.4097419516596155,0,30.574074,14.883003,0.486785,31.296296,17.550593,0.560788,-0.345184,-0.281404,0.724829,0.0,0.018519,0.833333,0.55
ai/claude-3-haiku/git-team-rules_2,1,ai,claude-3-haiku,ai,git-team-rules,66,37,37,20.0,1954.999992,4.204692619390966,7.578656846504783,0,29.621212,15.96565,0.538994,31.636364,18.198931,0.575254,-0.29955,-0.269637,0.808018,0.0,0.0,0.757576,0.558333
ai/claude-3-haiku/git-team-rules_3,1,ai,claude-3-haiku,ai,git-team-rules,61,28,28,20.0,1534.000001,4.127134385045092,7.336285660672764,0,25.147541,16.432511,0.653444,28.770492,18.434104,0.64073,-0.209596,-0.21897,0.427489,0.0,0.0,0.557377,0.722222
ai/claude-3-haiku/git-team-rules_4,1,ai,claude-3-haiku,ai,git-team-rules,70,17,17,17.0,1783.0000300000002,4.2626798770413155,7.486613329956098,0,25.471429,14.557003,0.571503,28.371429,16.90323,0.595784,-0.272667,-0.253303,0.714286,0.0,0.0,0.628571,0.764706
ai/claude-3-haiku/git-team-rules_5,1,ai,claude-3-haiku,ai,git-team-rules,79,43,43,20.0,2312.999999,4.382026634673881,7.74673290732147,0,29.278481,14.942876,0.510371,34.392405,18.093581,0.526092,-0.324178,-0.310537,0.72925,0.0,0.012658,0.759494,0.520833
ai/claude-3-haiku/python-exception_1,1,ai,claude-3-haiku,ai,python-exception,29,29,29,20.0,1208.9999950000001,3.4011973816621555,7.098375634458556,0,41.689655,16.02176,0.38431,43.137931,19.533745,0.452821,-0.444763,-0.376632,0.182466,0.0,0.0,1.37931,0.49
ai/claude-3-haiku/python-exception_2,1,ai,claude-3-haiku,ai,python-exception,30,24,24,20.0,1026.0,3.4339872044851463,6.934397209928558,0,34.2,15.791137,0.461729,34.333333,14.672726,0.427361,-0.368243,-0.401187,0.68313,0.0,0.0,0.9,0.52
ai/claude-3-haiku/python-exception_3,1,ai,claude-3-haiku,ai,python-exception,25,25,25,20.0,1073.0,3.258096538021482,6.97914527506881,0,42.92,16.634711,0.387575,42.68,14.578669,0.341581,-0.441364,-0.490779,0.229783,0.0,0.04,1.12,0.441667
ai/claude-3-haiku/python-exception_4,1,ai,claude-3-haiku,ai,python-exception,32,27,27,20.0,1440.0,3.4965075614664802,7.273092595999522,0,45.0,19.700888,0.437798,46.5625,21.01627,0.451356,-0.391016,-0.378022,0.579601,0.0,0.0,1.5,0.4875
ai/claude-3-haiku/python-exception_5,1,ai,claude-3-haiku,ai,python-exception,39,35,35,20.0,1566.9999930000001,3.6888794541139363,7.357556196446067,0,40.179487,13.78939,0.343195,43.25641,14.622985,0.338054,-0.488987,-0.494708,0.3698,0.0,0.0,1.179487,0.6125
ai/claude-3-haiku/rdb-design_1,1,ai,claude-3-haiku,ai,rdb-design,73,39,39,20.0,1956.000033,4.304065093204169,7.579167984258621,0,26.794521,11.077509,0.413424,30.60274,12.529133,0.409412,-0.415003,-0.419031,0.470763,0.0,0.013699,0.890411,0.45
ai/claude-3-haiku/rdb-design_2,1,ai,claude-3-haiku,ai,rdb-design,53,27,27,20.0,2056.0000090000003,3.9889840465642745,7.629003894028261,0,38.792453,17.597554,0.453633,43.132075,20.443237,0.473968,-0.375863,-0.356881,0.407303,0.0,0.0,1.132075,0.56875
ai/claude-3-haiku/rdb-design_3,1,ai,claude-3-haiku,ai,rdb-design,43,33,33,20.0,1749.999982,3.784189633918261,7.467942322006012,0,40.697674,14.91298,0.366433,45.255814,17.423711,0.385005,-0.463665,-0.444038,0.374989,0.0,0.0,1.302326,0.592857
ai/claude-3-haiku/rdb-design_4,1,ai,claude-3-haiku,ai,rdb-design,72,46,46,20.0,2098.000008,4.290459441148391,7.649216323631972,0,29.138889,21.353705,0.732825,31.486111,23.617903,0.750105,-0.154185,-0.142788,1.036375,0.065217,0.0,0.902778,0.675926
ai/claude-3-haiku/rdb-design_5,1,ai,claude-3-haiku,ai,rdb-design,58,29,29,20.0,2275.000004,4.07753744390572,7.7301747970036905,0,39.224138,19.434277,0.495467,41.672414,19.980497,0.479466,-0.337375,-0.351839,0.713385,0.0,0.0,1.034483,0.74
ai/claude-3-haiku/rest-api-design_1,1,ai,claude-3-haiku,ai,rest-api-design,61,35,35,20.0,2184.999992,4.127134385045092,7.689828665076831,0,35.819672,16.130115,0.450314,31.655738,16.221707,0.512441,-0.379011,-0.322365,0.625104,0.0,0.016393,0.852459,0.571875
ai/claude-3-haiku/rest-api-design_2,1,ai,claude-3-haiku,ai,rest-api-design,61,33,33,20.0,2094.000009,4.127134385045092,7.647308836652181,0,34.327869,19.48999,0.56776,31.868852,18.971485,0.595299,-0.275705,-0.253684,0.642698,0.0,0.0,0.836066,0.571429
ai/claude-3-haiku/rest-api-design_3,1,ai,claude-3-haiku,ai,rest-api-design,57,30,30,20.0,1889.000007,4.060443010546419,7.544332111757392,0,33.140351,16.42467,0.495609,30.157895,14.529811,0.481791,-0.337248,-0.349718,0.470751,0.0,0.0,0.877193,0.668182
ai/claude-3-haiku/rest-api-design_4,1,ai,claude-3-haiku,ai,rest-api-design,63,30,30,20.0,1944.000009,4.1588830833596715,7.573017260679796,0,30.857143,17.634613,0.571492,28.365079,15.488144,0.546029,-0.272676,-0.293637,0.625526,0.0,0.0,0.714286,0.636364
ai/claude-3-haiku/rest-api-design_5,1,ai,claude-3-haiku,ai,rest-api-design,71,41,41,20.0,2029.000015,4.276666119016055,7.615791079424995,0,28.577465,17.299892,0.605368,28.056338,18.808814,0.670394,-0.24582,-0.197322,0.578323,0.0,0.0,0.633803,0.536364
ai/claude-3-haiku/team-dev_1,1,ai,claude-3-haiku,ai,team-dev,57,42,42,20.0,2074.000005,4.060443010546419,7.637716435074437,0,36.385965,15.717634,0.43197,43.45614,17.676499,0.406766,-0.396678,-0.4217,0.452754,0.0,0.0,1.210526,0.647826
ai/claude-3-haiku/team-dev_2,1,ai,claude-3-haiku,ai,team-dev,41,41,41,20.0,1644.0000009999999,3.7376696182833684,7.405495663807375,0,40.097561,14.110721,0.35191,48.170732,14.876569,0.30883,-0.479389,-0.528082,0.184142,0.0,0.0,1.243902,0.586364
ai/claude-3-haiku/team-dev_3,1,ai,claude-3-haiku,ai,team-dev,53,49,49,20.0,2338.999975,3.9889840465642745,7.757906197667986,0,44.132075,16.546148,0.374923,52.924528,19.002333,0.359046,-0.454626,-0.471621,0.353994,0.0,0.0,1.830189,0.461667
ai/claude-3-haiku/team-dev_4,1,ai,claude-3-haiku,ai,team-dev,44,44,44,20.0,1708.000008,3.8066624897703196,7.443663687796691,0,38.818182,16.501064,0.425086,43.340909,14.292311,0.329765,-0.403424,-0.504025,0.272727,0.022727,0.0,1.5,0.612
ai/claude-3-haiku/team-dev_5,1,ai,claude-3-haiku,ai,team-dev,52,22,22,20.0,1487.000008,3.970291913552122,7.305188220769381,0,28.596154,12.040412,0.42105,34.538462,14.884764,0.430962,-0.40741,-0.397661,0.700803,0.0,0.0,0.846154,0.533333
ai/claude-3-haiku/test-strategy_1,1,ai,claude-3-haiku,ai,test-strategy,40,36,36,20.0,1645.0,3.713572066704308,7.406103381237015,0,41.125,10.73822,0.261112,50.55,13.747636,0.271961,-0.585902,-0.572375,0.358818,0.0,0.0,1.475,0.4
ai/claude-3-haiku/test-strategy_2,1,ai,claude-3-haiku,ai,test-strategy,48,26,26,20.0,1161.999984,3.8918202981106265,7.05875813876114,0,24.208333,17.267453,0.713285,29.333333,20.283751,0.691492,-0.167348,-0.182388,0.58035,0.0,0.0,0.625,0.507143
ai/claude-3-haiku/test-strategy_3,1,ai,claude-3-haiku,ai,test-strategy,67,31,31,20.0,1978.999971,4.219507705176107,7.590852109042116,0,29.537313,17.618112,0.59647,34.850746,20.467852,0.5873,-0.252764,-0.260001,0.72676,0.0,0.0,0.80597,0.520833
ai/claude-3-haiku/test-strategy_4,1,ai,claude-3-haiku,ai,test-strategy,73,35,35,20.0,1685.99997,4.304065093204169,7.430707064762921,0,23.09589,14.461251,0.62614,26.589041,15.79651,0.594099,-0.229907,-0.254628,0.705446,0.0,0.0,0.69863,0.6125
ai/claude-3-haiku/test-strategy_5,1,ai,claude-3-haiku,ai,test-strategy,62,33,33,20.0,1495.9999839999998,4.143134726391533,7.3112183737315855,0,24.129032,16.376108,0.678689,29.290323,19.143252,0.653569,-0.191406,-0.209505,0.615445,0.0,0.0,0.677419,0.5
ai/claude-3-haiku/web-security_1,1,ai,claude-3-haiku,ai,web-security,49,18,18,18.0,1376.000017,3.912023005428146,7.2276625110743336,0,28.081633,20.077235,0.71496,27.755102,21.50513,0.774817,-0.166208,-0.126877,0.637245,0.0,0.0,0.510204,0.611111
